Meanint	Meaning_ID	Word	List1	List2	Similarity
the ant	1	č'ianč'vela	{"č'ianč'vela"}	{"žinč'ela", "žinč'ola", "č'ianč'vela", "žionč'ela"}	DIFFERENT
the ant	1	moor	{'moor', 'nammah', 'namlah'}	{'moor'}	DIFFERENT
the ant	1	namlah	{'moor', 'nammah', 'namlah'}	{'nammah', 'namlah'}	DIFFERENT
the ant	1	qarışğa	{'qarışqa', 'къаришкъа', 'хъаришхъа', 'къа1ришгъа1', 'qarışğa'}	{'qarışqa', 'къаришкъа', 'хъаришхъа', 'къа1ришгъа1', 'гаришкъа', 'qarışğa'}	DIFFERENT
the ant	1	zimzu	{'зибз', 'зимз', 'zimzu', 'зивз', 'зимс', 'зимзар', 'зимзак'}	{'симсири', 'зибз', 'зимз', 'zimzu', 'зивз', 'зимс', 'зимзар', 'зимзак'}	DIFFERENT
the ant	1	žinč'ela	{"žinč'ela", "žinč'ola", "žionč'ela"}	{"žinč'ela", "žinč'ola", "č'ianč'vela", "žionč'ela"}	DIFFERENT
the ant	1	гаришкъа	{'гаришкъа'}	{'qarışqa', 'къаришкъа', 'хъаришхъа', 'къа1ришгъа1', 'гаришкъа', 'qarışğa'}	DIFFERENT
the ant	1	дзы1хцар	{'цыцах', 'дзыдзах', 'дзы1хцар', 'дзыдза1хъ', 'дзыдзахъ', 'цахцар', 'цыхцар'}	{'дзы1хцар'}	DIFFERENT
the ant	1	дзыдза1хъ	{'цыцах', 'дзыдзах', 'дзы1хцар', 'дзыдза1хъ', 'дзыдзахъ', 'цахцар', 'цыхцар'}	{'дзыдза1хъ', 'дзыдзах', 'дзыдзахъ'}	DIFFERENT
the ant	1	к1к1ара	{'к1к1ара'}	{'ККари', 'к1к1ара'}	DIFFERENT
the ant	1	карешпа	{'карешпа', 'ц1имиц1и'}	{'карешпа'}	DIFFERENT
the ant	1	ККари	{'ККари'}	{'ККари', 'к1к1ара'}	DIFFERENT
the ant	1	лъанц1	{'лъанц1и', 'лъанц1ц1и', 'лъарц1ц1е', 'лъанц1'}	{'лъанц1ц1и', 'лъанц1и', 'лъанц1', 'лъарц1ц1е', 'танц1ц1а'}	DIFFERENT
the ant	1	РЕЦÉНЙО	{'рецен', 'РЕЦÉНЙО'}	{'РЕЦÉНЙО'}	DIFFERENT
the ant	1	рецен	{'рецен', 'РЕЦÉНЙО'}	{'рецен'}	DIFFERENT
the ant	1	симсири	{'симсири'}	{'симсири', 'зибз', 'зимз', 'zimzu', 'зивз', 'зимс', 'зимзар', 'зимзак'}	DIFFERENT
the ant	1	танц1ц1а	{'танц1ц1а'}	{'лъанц1ц1и', 'лъанц1и', 'лъанц1', 'лъарц1ц1е', 'танц1ц1а'}	DIFFERENT
the ant	1	ц1уц1ра	{'ц1уц1ра', 'цIунцIра', 'цвез'}	{'ц1уц1ра', 'цIунцIра'}	DIFFERENT
the ant	1	цахцар	{'цыцах', 'дзыдзах', 'дзы1хцар', 'дзыдза1хъ', 'дзыдзахъ', 'цахцар', 'цыхцар'}	{'цыцах', 'цыхцар', 'цахцар'}	DIFFERENT
the ant	1	цвез	{'ц1уц1ра', 'цIунцIра', 'цвез'}	{'цвез'}	DIFFERENT
the arch	2	(полу-)чарх	{'чарх п', 'чарх', '(полу-)чарх'}	{'чарх п', 'чарх', '(полу-)чарх', '*чарх'}	DIFFERENT
the arch	2	ад	{'ад', 'акъва'}	{'ад'}	DIFFERENT
the arch	2	акъва	{'ад', 'акъва'}	{'акъва'}	DIFFERENT
the arch	2	мо???	{'мо???'}		NOT IN LIST 2
the axe/ax	3	suldi	{'suldi'}	{'tsuldi', 'tsuld', 'tsuldi - big axe', 'tsuld podtv', 'tsuli', 'suldi'}	DIFFERENT
the axe/ax	3	tabar	{'tabərzan', 'tabar'}	{'tabərzan', 'tapor', 'топор', 'yaq', 'tabar', 'tapori'}	DIFFERENT
the axe/ax	3	tapor	{'tapori', 'tapor', 'топор'}	{'tabərzan', 'tapor', 'топор', 'yaq', 'tabar', 'tapori'}	DIFFERENT
the axe/ax	3	tsuld	{'tsuldi', 'tsuld', 'tsuldi - big axe', 'tsuld podtv', 'tsuli'}	{'tsuldi', 'tsuld', 'tsuldi - big axe', 'tsuld podtv', 'tsuli', 'suldi'}	DIFFERENT
the axe/ax	3	yaq	{'yaq'}	{'tabərzan', 'tapor', 'топор', 'yaq', 'tabar', 'tapori'}	DIFFERENT
the axe/ax	3	ажите	{'анжитобо', 'аНжито', 'ажите', 'анжито(бо)'}	{'анжитобо', 'г1анжит', 'аНжито', 'ажите', 'анжито(бо)'}	DIFFERENT
the axe/ax	3	г1анжит	{'г1анжит'}	{'анжитобо', 'г1анжит', 'аНжито', 'ажите', 'анжито(бо)'}	DIFFERENT
the axe/ax	3	ек1	{'як1', 'якьв', 'як1а', 'якlу', 'як1в', 'якв', 'юк1', 'екIв', 'юкв', 'ек1', 'юк1в', 'якlв', 'якьу', 'якIв', 'ек1в'}	{'як1', 'якьв', 'як1а', 'якlу', 'як1в', 'якв', 'юк1', 'екIв', 'юкв', 'ек1', 'юк1в', 'якlв', 'йик1', 'якьу', 'якIв', 'ек1в'}	DIFFERENT
