List ID	Concept nr.	Concept	Word	Stem	Set	Confirmed	Comment	Source	Mediator
17	1	the ant	č'ianč'vela	1	1-1				
97	1	the ant	č'ianč'vela	1	1-1				
8	1	the ant	hũca	2	1-2				
14	1	the ant	hũca	2	1-2				
141	1	the ant	hũca	2				Non loan	
139	1	the ant	moor	3					
68	1	the ant	NA						
100	1	the ant	NA						
109	1	the ant	NA						
110	1	the ant	NA						
11	1	the ant	namlah	3	1-3				
11	1	the ant	nammah	3	1-3				
52	1	the ant	qarışğa	4	1-4				
13	1	the ant	qarışqa	4	1-4				
26	1	the ant	qarışqa	4	1-4				
101	1	the ant	qarışqa	4	1-4				
102	1	the ant	qarışqa	4	1-4				
106	1	the ant	qarışqa	4	1-4				
107	1	the ant	qarışqa	4	1-4				
108	1	the ant	qarışqa	4	1-4				
133	1	the ant	qarışqa	4	1-4				
140	1	the ant	zimzu	8				Unidentified	
96	1	the ant	žinč'ela	5	1-5				
1	1	the ant	žinč'ola	5	1-5				
104	1	the ant	žinč'ola	5	1-5				
103	1	the ant	žionč'ela	5	1-5				
105	1	the ant	žionč'ela	5	1-5				
27	1	the ant	гаришкъа	6	1-6				
28	1	the ant	гаришкъа	6	1-6				
51	1	the ant	дзы1хцар	7	1-7				
23	1	the ant	дзыдза1хъ	7	1-7				
81	1	the ant	дзыдзах	7	1-7				
86	1	the ant	дзыдзах	7	1-7				
87	1	the ant	дзыдзах	7	1-7				
88	1	the ant	дзыдзах	7	1-7				
82	1	the ant	дзыдзахъ	7	1-7				
112	1	the ant	дзыдзахъ	7	1-7				
10	1	the ant	зибз	8	1-8				
89	1	the ant	зибз	8	1-8				
120	1	the ant	зибз	8	1-8				
78	1	the ant	зивз	8	1-8				
79	1	the ant	зивз	8	1-8				
24	1	the ant	зимз	8	1-8				
62	1	the ant	зимз	8	1-8				
63	1	the ant	зимз	8	1-8				
64	1	the ant	зимз	8	1-8				
65	1	the ant	зимз	8	1-8				
71	1	the ant	зимз	8	1-8				
72	1	the ant	зимз	8	1-8				
73	1	the ant	зимз	8	1-8				
74	1	the ant	зимз	8	1-8				
75	1	the ant	зимз	8	1-8				
76	1	the ant	зимз	8	1-8				
80	1	the ant	зимз	8	1-8				
90	1	the ant	зимз	8	1-8				
91	1	the ant	зимз	8	1-8				
92	1	the ant	зимз	8	1-8				
93	1	the ant	зимз	8	1-8				
95	1	the ant	зимз	8	1-8				
77	1	the ant	зимзак	8	1-8				
37	1	the ant	зимзар	8	1-8				
38	1	the ant	зимзар	8	1-8				
39	1	the ant	зимзар	8	1-8				
40	1	the ant	зимзар	8	1-8				
41	1	the ant	зимзар	8	1-8				
42	1	the ant	зимзар	8	1-8				
43	1	the ant	зимзар	8	1-8				
